Accession	Nlevel	Rep	FW(g)	DW(g)	N%(N/DW)	TotalN(mgN/plant)	NUtE(gDW/gN)	E%(15N/N)	15N(ug15N/plant)	NUE(gDW/gappliedN)	NupE(ug15N/ugapplied15N*100%)	NupE/DW	RNAsamples	AppliedN(mg)
Akita	L	three	0.265	0.026	5.927401505	1.541124391	16.8707991	0.670295	10.33007974	9.77444	19.1298	735.7615385	No	2.66
Akita	L	three	0.216	0.023	5.269168026	1.211908646	18.97832817	0.665685	8.06749407	8.64662	14.9398	649.5565217	No	2.66
Akita	L	three	0.221	0.022	5.746309459	1.264188081	17.40247383	0.544695	6.885969267	8.27068	12.7518	579.6272727	No	2.66
Akita	L	three	0.19	0.018	5.585635359	1.005414365	17.90306627	1.053145	10.58847111	6.76692	19.6083	1089.35	No	2.66
Akita	L	three	0.16	0.015	5.590008613	0.838501292	17.88906009	0.384076667	3.220487812	5.6391	5.96387	397.5913333	Yes	2.66
Akita	L	three	0.129	0.013	4.529058116	0.588777555	22.07964602	0.441036667	2.596724903	4.88722	4.80875	369.9038462	Yes	2.66
Bl-1	H	one	0.409	0.036	4.997542998	1.799115479	20.00983284	0.248886667	4.477758545	2.3166	2.13227	59.22972222	Yes	15.54
Bl-1	H	one	0.409	0.036	5.33748702	1.921495327	18.73540856	0.122306667	2.350116885	2.3166	1.1191	31.08611111	Yes	15.54
Bl-1	H	one	0.386	0.032	5.865647187	1.8770071	17.04841713	0.171006667	3.209807275	2.0592	1.52848	47.765	No	15.54
Bl-1	H	one	0.232	0.023	5.935198822	1.365095729	16.84863524	0.181676667	2.480060417	1.48005	1.18098	51.34695652	No	15.54
Bl-1	H	one	0.143	0.019	5.264672037	1.000287687	18.99453552	0.263386667	2.634624396	1.22265	1.25458	66.03052632	No	15.54
Bl-1	H	one	0.234	0.018	5.850299401	1.053053892	17.09314227	0.293036667	3.085834024	1.1583	1.46944	81.63555556	Yes	15.54
Bl-1	H	two	0.669	0.076	5.690335306	4.324654832	17.57365685	0.2049	8.861217751	3.82294	3.28193	43.18328947	No	19.88
Bl-1	H	two	0.574	0.057	5.68597561	3.241006098	17.58713137	0.22207	7.197302241	2.8672	2.66567	46.76614035	Yes	19.88
Bl-1	H	two	0.481	0.052	5.905898876	3.071067416	16.93222354	0.14172	4.352316742	2.61569	1.61197	30.99942308	No	19.88
Bl-1	H	two	0.485	0.048	5.517609392	2.648452508	18.1237911	0.16547	4.382394365	2.41449	1.62311	33.81479167	Yes	19.88
Bl-1	H	two	0.35	0.047	5.889186774	2.767917784	16.98027314	0.15123	4.185922064	2.36419	1.55034	32.98595745	No	19.88
Bl-1	H	two	0.431	0.045	5.992779783	2.696750903	16.68674699	0.35305	9.520879061	2.26358	3.52625	78.36111111	No	19.88
Bl-1	H	three	0.287	0.035	5.129533679	1.795336788	19.49494949	0.354195	6.358993135	2.63158	2.35518	67.29085714	No	13.3
Bl-1	H	three	0.313	0.033	6.18065967	2.039617691	16.17950273	0.320445	6.53585291	2.4812	2.42069	73.35424242	No	13.3
Bl-1	H	three	0.302	0.032	5.979112272	1.913315927	16.72489083	0.268835	5.143662872	2.40602	1.90506	59.533125	No	13.3
Bl-1	H	three	0.258	0.031	5.656108597	1.753393665	17.68	0.320005	5.610947398	2.33083	2.07813	67.03645161	No	13.3
Bl-1	H	three	0.298	0.027	5.776836158	1.559745763	17.31051345	0.191066667	2.980154237	2.03008	1.10376	40.88	Yes	13.3
Bl-1	H	three	0.251	0.027	5.627659574	1.519468085	17.76937618	0.128256667	1.948819117	2.03008	0.721785	26.73277778	Yes	13.3
Bl-1	L	one	0.231	0.022	4.900086881	1.078019114	20.40780142	0.407676667	4.394832389	7.07851	10.4639	475.6318182	No	3.108
